title,link,summary_raw,published_time,image_url,source,summary_cleaned,summary_not_stop_word,topic_cluster
Bộ trưởng Quốc phòng Israel đe dọa 'thiêu rụi' thủ đô Iran,https://vnexpress.net/bo-truong-quoc-phong-israel-de-doa-thieu-rui-thu-do-iran-4898882.html,"<a href=""https://vnexpress.net/bo-truong-quoc-phong-israel-de-doa-thieu-rui-thu-do-iran-4898882.html""><img src=""https://i1-vnexpress.vnecdn.net/2025/06/14/afp-20240617-34wv7ut-v1-highre-6567-5950-1749896577.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=N7HFnxS_pgGctGoLUDtO8Q"" /></a>Bộ trưởng Quốc phòng Israel Katz cảnh báo ""Tehran sẽ bị thiêu rụi"" nếu Iran tiếp tục tấn công tên lửa vào Israel.",2025-06-14T17:42:18+07:00,https://i1-vnexpress.vnecdn.net/2025/06/14/afp-20240617-34wv7ut-v1-highre-6567-5950-1749896577.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=N7HFnxS_pgGctGoLUDtO8Q,Vnexpress,bộ trưởng quốc phòng israel katz cảnh báo tehran sẽ bị thiêu rụi nếu iran tiếp tục tấn công tên lửa vào israel,bộ_trưởng quốc_phòng israel katz cảnh_báo tehran thiêu rụi iran tiếp_tục tấn_công tên_lửa israel,0
Vì sao lau nhà xong có mùi tanh?,https://vnexpress.net/vi-sao-lau-nha-xong-co-mui-tanh-4898868.html,"<a href=""https://vnexpress.net/vi-sao-lau-nha-xong-co-mui-tanh-4898868.html""><img src=""https://i1-giadinh.vnecdn.net/2025/06/14/a-nh-ma-n-hi-nh-2025-06-14-lu-9244-3620-1749890082.png?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=8bJpwJg-6eHeyt1I9RSupQ"" /></a>Nhiều người từng trải qua cảm giác khó chịu khi vừa lau xong sàn nhà, nhất là sàn gạch men, ngửi thấy mùi tanh hôi thoang thoảng khắp không gian.",2025-06-14T17:40:51+07:00,https://i1-giadinh.vnecdn.net/2025/06/14/a-nh-ma-n-hi-nh-2025-06-14-lu-9244-3620-1749890082.png?w=1200&h=0&q=100&dpr=1&fit=crop&s=8bJpwJg-6eHeyt1I9RSupQ,Vnexpress,nhiều người từng trải qua cảm giác khó chịu khi vừa lau xong sàn nhà nhất là sàn gạch men ngửi thấy mùi tanh hôi thoang thoảng khắp không gian,trải cảm_giác khó_chịu lau xong sàn sàn gạch_men ngửi mùi tanh_hôi thoang_thoảng khắp không_gian,7
'Hollywood tuột dốc vì nghiện hào quang quá khứ',https://vnexpress.net/hollywood-tuot-doc-vi-nghien-hao-quang-qua-khu-4898825.html,"<a href=""https://vnexpress.net/hollywood-tuot-doc-vi-nghien-hao-quang-qua-khu-4898825.html""><img src=""https://i1-giaitri.vnecdn.net/2025/06/14/dakota-johnson-ta-i-lhp-cannes-2607-4185-1749895760.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=bYHwcdCA4wOhw2j4zQz24Q"" /></a>Mỹ nhân ""50 sắc thái"" Dakota Johnson nói nhiều hãng ở Hollywood nghiện làm lại đề tài cũ, khiến nền điện ảnh thiếu sáng tạo.",2025-06-14T17:38:19+07:00,https://i1-giaitri.vnecdn.net/2025/06/14/dakota-johnson-ta-i-lhp-cannes-2607-4185-1749895760.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=bYHwcdCA4wOhw2j4zQz24Q,Vnexpress,mỹ nhân 50 sắc thái dakota johnson nói nhiều hãng ở hollywood nghiện làm lại đề tài cũ khiến nền điện ảnh thiếu sáng tạo,mỹ_nhân 50 sắc_thái dakota johnson hãng hollywood nghiện đề_tài cũ khiến điện_ảnh thiếu sáng_tạo,11
Bình Dương duyệt quy hoạch khu du lịch nghỉ dưỡng 222 ha ven sông Sài Gòn,https://vnexpress.net/binh-duong-duyet-quy-hoach-khu-du-lich-nghi-duong-222-ha-ven-song-sai-gon-4898889.html,"<a href=""https://vnexpress.net/binh-duong-duyet-quy-hoach-khu-du-lich-nghi-duong-222-ha-ven-song-sai-gon-4898889.html""><img src=""https://i1-vnexpress.vnecdn.net/2025/06/14/duong-9-6624-1749895573.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=JTf0vtH9Y4cE2zojqd7R-Q"" /></a>Khu dịch vụ du lịch sinh thái nghỉ dưỡng và giải trí Cánh đồng Cây Siu, quy mô hơn 222 ha, giáp sông Sài Gòn vừa được tỉnh Bình Dương phê duyệt quy hoạch 1/2.000.",2025-06-14T17:27:53+07:00,https://i1-vnexpress.vnecdn.net/2025/06/14/duong-9-6624-1749895573.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=JTf0vtH9Y4cE2zojqd7R-Q,Vnexpress,khu dịch vụ du lịch sinh thái nghỉ dưỡng và giải trí cánh đồng cây siu quy mô hơn 222 ha giáp sông sài gòn vừa được tỉnh bình dương phê duyệt quy hoạch 12000,khu dịch_vụ du_lịch sinh_thái nghỉ_dưỡng giải_trí cánh đồng siu quy_mô 222 ha giáp sông sài_gòn tỉnh bình dương phê_duyệt quy_hoạch 12000,10
Vinhomes lần thứ 10 được vinh danh tại Hubexo Asia Awards,https://vnexpress.net/vinhomes-lan-thu-10-duoc-vinh-danh-tai-hubexo-asia-awards-4898885.html,"<a href=""https://vnexpress.net/vinhomes-lan-thu-10-duoc-vinh-danh-tai-hubexo-asia-awards-4898885.html""><img src=""https://i1-vnexpress.vnecdn.net/2025/06/14/hd-1749895537-1749895558-5179-1749895709.png?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=oFZloJ2GPizL_Qi79q6DLw"" /></a>Vinhomes tiếp tục được xướng tên trong Top 10 chủ đầu tư hàng đầu tại lễ trao giải Hubexo Asia Awards 2025.",2025-06-14T17:15:00+07:00,https://i1-vnexpress.vnecdn.net/2025/06/14/hd-1749895537-1749895558-5179-1749895709.png?w=1200&h=0&q=100&dpr=1&fit=crop&s=oFZloJ2GPizL_Qi79q6DLw,Vnexpress,vinhomes tiếp tục được xướng tên trong top 10 chủ đầu tư hàng đầu tại lễ trao giải hubexo asia awards 2025,vinhomes tiếp_tục xướng tên top 10 chủ đầu_tư hàng_đầu lễ trao giải hubexo asia awards 2025,5
"Điểm tin 17h: Nhiều thuê bao VinaPhone gặp sự cố liên lạc | Biển số xe của các tỉnh, thành từ 1/7",https://vnexpress.net/diem-tin-17h-nhieu-thue-bao-vinaphone-gap-su-co-lien-lac-bien-so-xe-cua-cac-tinh-thanh-tu-1-7-4898888.html,"<a href=""https://vnexpress.net/diem-tin-17h-nhieu-thue-bao-vinaphone-gap-su-co-lien-lac-bien-so-xe-cua-cac-tinh-thanh-tu-1-7-4898888.html""><img src=""https://i1-vnexpress.vnecdn.net/2025/06/14/81f7545e717f452b91e4ee99e190ec-5836-8838-1749895431.png?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=pjGzxqxTnnbw50qnl3Kc5g"" /></a>Quốc hội thông qua Luật Công nghiệp công nghệ số; Nestlé Việt Nam bị phạt 80 triệu đồng do vi phạm quảng cáo...",2025-06-14T17:05:39+07:00,https://i1-vnexpress.vnecdn.net/2025/06/14/81f7545e717f452b91e4ee99e190ec-5836-8838-1749895431.png?w=1200&h=0&q=100&dpr=1&fit=crop&s=pjGzxqxTnnbw50qnl3Kc5g,Vnexpress,quốc hội thông qua luật công nghiệp công nghệ số nestlé việt nam bị phạt 80 triệu đồng do vi phạm quảng cáo,quốc_hội thông_qua luật công_nghiệp công_nghệ nestlé việt_nam phạt 80 triệu đồng vi_phạm quảng_cáo,11
Người Mỹ bắt đầu lạc quan hơn về nền kinh tế,https://vnexpress.net/nguoi-my-bat-dau-lac-quan-hon-ve-nen-kinh-te-4898691.html,"<a href=""https://vnexpress.net/nguoi-my-bat-dau-lac-quan-hon-ve-nen-kinh-te-4898691.html""><img src=""https://i1-kinhdoanh.vnecdn.net/2025/06/14/us-shopper-reuters-2-174986356-7958-9355-1749863622.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=Mjnk2nyqa7uQ1N9-RfVT4w"" /></a>Khảo sát của Đại học Michigan cho thấy niềm tin tiêu dùng tại Mỹ lần đầu tăng trong 6 tháng, khi người dân bớt lo ngại về thuế nhập khẩu.",2025-06-14T17:04:38+07:00,https://i1-kinhdoanh.vnecdn.net/2025/06/14/us-shopper-reuters-2-174986356-7958-9355-1749863622.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=Mjnk2nyqa7uQ1N9-RfVT4w,Vnexpress,khảo sát của đại học michigan cho thấy niềm tin tiêu dùng tại mỹ lần đầu tăng trong 6 tháng khi người dân bớt lo ngại về thuế nhập khẩu,khảo_sát đại_học michigan niềm tin tiêu_dùng mỹ đầu tăng 6 dân bớt lo_ngại thuế_nhập_khẩu,1
Các thương hiệu đèn trang trí châu Âu tại showroom Cavani,https://vnexpress.net/cac-thuong-hieu-den-trang-tri-chau-au-tai-showroom-cavani-4898884.html,"<a href=""https://vnexpress.net/cac-thuong-hieu-den-trang-tri-chau-au-tai-showroom-cavani-4898884.html""><img src=""https://i1-kinhdoanh.vnecdn.net/2025/06/14/image987660027extractword0out-4985-5630-1749895137.png?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=hH4EsfQ8PKFapeDakLQb5A"" /></a>Cavani đang bày bán các thương hiệu đèn đến từ châu Âu như Stillux, BC Sanmichele, Possoni hay Copenlamp.",2025-06-14T17:00:00+07:00,https://i1-kinhdoanh.vnecdn.net/2025/06/14/image987660027extractword0out-4985-5630-1749895137.png?w=1200&h=0&q=100&dpr=1&fit=crop&s=hH4EsfQ8PKFapeDakLQb5A,Vnexpress,cavani đang bày bán các thương hiệu đèn đến từ châu âu như stillux bc sanmichele possoni hay copenlamp,cavani bày bán thương_hiệu đèn châu âu stillux bc sanmichele possoni copenlamp,1
Cảnh đổ nát ở Israel sau đòn trả đũa của Iran,https://vnexpress.net/canh-do-nat-o-israel-sau-don-tra-dua-cua-iran-4898875.html,"<a href=""https://vnexpress.net/canh-do-nat-o-israel-sau-don-tra-dua-cua-iran-4898875.html""><img src=""https://i1-vnexpress.vnecdn.net/2025/06/14/AP25165167550544-1749890966.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=M_nRpcjFFhyxi5gWgSq9-Q"" /></a>Iran phóng khoảng 200 tên lửa đạn đạo vào lãnh thổ Israel để trả đũa vụ không kích phủ đầu, khiến nhiều tòa nhà bị phá hủy.",2025-06-14T16:59:29+07:00,https://i1-vnexpress.vnecdn.net/2025/06/14/AP25165167550544-1749890966.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=M_nRpcjFFhyxi5gWgSq9-Q,Vnexpress,iran phóng khoảng 200 tên lửa đạn đạo vào lãnh thổ israel để trả đũa vụ không kích phủ đầu khiến nhiều tòa nhà bị phá hủy,iran phóng khoảng 200 tên_lửa đạn_đạo lãnh_thổ israel trả_đũa vụ không_kích phủ_đầu khiến tòa phá_hủy,0
900.000 đồng một kg vải thiều không hạt Trung Quốc,https://vnexpress.net/900-000-dong-mot-kg-vai-thieu-khong-hat-trung-quoc-4898502.html,"<a href=""https://vnexpress.net/900-000-dong-mot-kg-vai-thieu-khong-hat-trung-quoc-4898502.html""><img src=""https://i1-kinhdoanh.vnecdn.net/2025/06/13/vai-1749803408-1749803529-1749-5146-4928-1749805384.png?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=uOKzuQ3z8h1HDy9fQ1k7ig"" /></a>Vải thiều không hạt Trung Quốc được dân buôn xách tay về Việt Nam, giá 1,1-1,8 triệu đồng mỗi giỏ 2kg.",2025-06-14T16:53:17+07:00,https://i1-kinhdoanh.vnecdn.net/2025/06/13/vai-1749803408-1749803529-1749-5146-4928-1749805384.png?w=1200&h=0&q=100&dpr=1&fit=crop&s=uOKzuQ3z8h1HDy9fQ1k7ig,Vnexpress,vải thiều không hạt trung quốc được dân buôn xách tay về việt nam giá 1118 triệu đồng mỗi giỏ 2kg,vải_thiều hạt trung quốc dân buôn xách tay việt nam giá 1118 triệu đồng giỏ 2kg,1
